Carmain,Price(In lakhs),Vehicle Type,Range(In km),Battery Capacity(in kwh),Airbags,Seating Capacity,Max Power(bhp),Cruise Control(yes/no),Sunroof(yes/no),Fast charging(yes/no),Parking Sensors,GNCAP Safty Rating,Transmission Type,Image
Tata Nexon EV,13,SUV,465,40.5,6,5,142.68,yes,no,yes,Front & Rear,4.3,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Tata/Nexon-EV-2023/11024/1694146347051/front-left-side-47.jpg
Tata Tigor EV,11,Sedan,315,26,2,5,73.75,no,no,yes,Rear,4.1,Automatic/Manual,https://stimg.cardekho.com/images/carexteriorimages/930x620/Tata/Tigor-EV/7199/1592632314945/front-left-side-47.jpg
Tata Punch EV,14,Suv,315,25,6,5,102.69,yes,yes,yes,Rear,4.2,Automatic,https://imgd.aeplcdn.com/1280x720/n/cw/ec/148309/punch-ev-exterior-right-front-three-quarter-5.jpeg?isig=0&q=80
Mahindhra eKUV100,8,SUV,200,40,4,5,145.68,yes,no,yes,Rear,4.2,Automatic,https://i0.wp.com/evduniya.com/wp-content/uploads/2020/06/Mahindra-eKUV100-Review.jpg?resize=800%2C400&ssl=1&is-pending-load=1
Mahindhra XUV400 EV,15,SUV,456,39.4,6,5,147.51,yes,yes,yes,Rear,4.4,Automatic,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mahindra/XUV400-EV/6820/1662704228567/front-left-side-47.jpg
MG ZS EV,18,SUV,461,50.3,6,5,174.33,yes,yes,yes,Rear,4.1,Automatic,https://imgcdn.oto.com/large/gallery/color/139/2485/mg-zs-ev-color-233832.jpg
MG Comet EV,6,Hatchback,230,17.3,2,4,41.42,no,no,yes,Rear,4.2,Automatic,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20230302023647_Comet%20EV.jpg&w=700&c=1
Hyundai Kona Electric,23,SUV,452,39.2,6,5,134.1,yes,yes,yes,Rear,4.4,Automatic/Manual,https://imgd.aeplcdn.com/1280x720/n/cw/ec/29580/kona-electric-exterior-right-front-three-quarter-162254.jpeg?isig=0&q=80
Hyundai IONIQ 5,46,SUV,631,72.6,6,5,216,yes,yes,yes,Rear,4.1,Automatic/Manual,https://cdni.autocarindia.com/Utils/ImageResizer.ashx?n=https://cdni.autocarindia.com/ExtraImages/20240304030241_hyundai_ioniq_5_front.jpg&w=700&c=1
Kia Carens EV,80,SUV,600,75,6,5,113.42,yes,yes,no,Rear,4.2,Automatic/Manual,https://www.motorbeam.com/wp-content/uploads/Kia-Carens-X-Line-Price.jpg
Kia EV5,55,SUV,665,88.1,6,5,214,no,yes,no,Rear,4.2,Automatic,https://www.carlelo.com/image/UpcomingCar_img/1712388516.webp
